번호,영상ID,상태,사유,채널,제목,업로드일,길이,재생목록,문단수,글자수,주소
1,7wLWFYMflaw,성공,,초코서당(초명),나는 주식으로 부자가 될 수 있을까?,20260703,21:47,,17,11214,https://www.youtube.com/watch?v=7wLWFYMflaw
2,hdUj1lq2jXc,성공,,초코서당(초명),좋은 운이라면서 왜 힘든 걸까?,20260619,12:24,,9,6173,https://www.youtube.com/watch?v=hdUj1lq2jXc
3,yUcasHEzOzQ,성공,,초코서당(초명),식재가 과다하면 외향적일까?,20260612,11:03,,9,5852,https://www.youtube.com/watch?v=yUcasHEzOzQ
4,BfPwayJ1n0A,성공,,초코서당(초명),신왕한 사주란 무엇인가?,20260605,17:13,,18,8233,https://www.youtube.com/watch?v=BfPwayJ1n0A
5,1ZEmQmYM8bU,성공,,초코서당(초명),고전에서 말하는 부자 사주의 구조,20260529,10:53,,12,5325,https://www.youtube.com/watch?v=1ZEmQmYM8bU
6,dTzS50z6s7g,성공,,초코서당(초명),병오년 자오충의 의미,20260522,2:30,,2,1273,https://www.youtube.com/watch?v=dTzS50z6s7g
7,KwivNLfoGbE,성공,,초코서당(초명),병오년에 화(火)만 이야기하면 안 돼요,20260515,20:30,,15,10182,https://www.youtube.com/watch?v=KwivNLfoGbE
8,rNqihUidxvI,성공,,초코서당(초명),전왕사주는 폭발력이 강하다,20260508,24:01,,17,12115,https://www.youtube.com/watch?v=rNqihUidxvI
9,W0XO1ylzN7o,성공,,초코서당(초명),무관성 사주가 욕 먹는 이유,20260501,13:08,,11,7009,https://www.youtube.com/watch?v=W0XO1ylzN7o
10,vMdsdhZqQ_0,성공,,초코서당(초명),최고의 재성은 금 재성이다,20260424,10:31,,8,5380,https://www.youtube.com/watch?v=vMdsdhZqQ_0
11,YNrxFQj_FPY,성공,,초코서당(초명),신강과 신약에 대한 오해와 편견,20260313,10:40,,9,5146,https://www.youtube.com/watch?v=YNrxFQj_FPY
12,ahBYzr2eZn0,성공,,초코서당(초명),당신의 사주 실력이 늘지 않는 진짜 이유,20260218,3:57,,3,2046,https://www.youtube.com/watch?v=ahBYzr2eZn0
13,qRHyAyjFZLs,성공,,초코서당(초명),사주가 인생을 결정한다는 거짓말,20260213,22:52,,18,11599,https://www.youtube.com/watch?v=qRHyAyjFZLs
14,8Pf3hGzVprE,성공,,초코서당(초명),사주를 하나의 관점으로만 보지 맙시다,20260130,27:42,,25,13358,https://www.youtube.com/watch?v=8Pf3hGzVprE
15,kDvPEALXeLU,성공,,초코서당(초명),식상의 재능을 나만의 무기로 만드려면?,20260109,26:38,,20,13779,https://www.youtube.com/watch?v=kDvPEALXeLU
16,1QFaCE4FucA,성공,,초코서당(초명),어떤 사주가 회사생활이 힘들까,20251226,22:41,,19,12040,https://www.youtube.com/watch?v=1QFaCE4FucA
17,uIfCv_XngN8,성공,,초코서당(초명),사주 편재 운의 작용 원리,20251219,28:28,,22,14541,https://www.youtube.com/watch?v=uIfCv_XngN8
18,KiV4DcjtMpA,성공,,초코서당(초명),치우친 사주는 폭발력이 강하다,20251219,29:42,,27,15824,https://www.youtube.com/watch?v=KiV4DcjtMpA
19,bFfowUX0rjY,성공,,초코서당(초명),화(火)가 들어와야 대박이 터지는 사주,20251212,24:02,,20,12679,https://www.youtube.com/watch?v=bFfowUX0rjY
20,Al8o55wAqy4,성공,,초코서당(초명),겨울생인데 불이 위험한 사주,20251205,13:06,,10,6866,https://www.youtube.com/watch?v=Al8o55wAqy4
21,A8rWK0luiWQ,성공,,초코서당(초명),운에서 화가 강해지면 어떤 일이 일어날까요,20251128,28:13,,26,14941,https://www.youtube.com/watch?v=A8rWK0luiWQ
22,jiZdHvzKfv4,성공,,초코서당(초명),2026년 병오년에 일어날 환경 변화,20251121,47:44,,40,24897,https://www.youtube.com/watch?v=jiZdHvzKfv4
23,QlCGgC-Ocqk,성공,,초코서당(초명),나와 같은 사주를 가진 사람들,20251114,40:36,,37,19742,https://www.youtube.com/watch?v=QlCGgC-Ocqk
24,KLDPWKsjhMo,성공,,초코서당(초명),인류의 모든 사주를 계산해봤습니다,20251031,26:39,,33,12858,https://www.youtube.com/watch?v=KLDPWKsjhMo
25,mAk12tAOSJY,성공,,초코서당(초명),"양자역학으로 본 사주와 운명, 결정론의 허상",20251024,25:29,,19,13306,https://www.youtube.com/watch?v=mAk12tAOSJY
26,gbDyXTTHTxs,성공,,초코서당(초명),사주 좋은 병사들만 모아 전쟁하면 무조건 이길까?,20251018,18:34,,14,9992,https://www.youtube.com/watch?v=gbDyXTTHTxs
27,z_MqlchyWPg,성공,,초코서당(초명),천간과 지지의 차이,20251018,18:08,,13,9195,https://www.youtube.com/watch?v=z_MqlchyWPg
28,pRQRW6tRcDw,성공,,초코서당(초명),"강아지, 고양이도 사주 볼 수 있나요?",20250905,17:45,,19,9176,https://www.youtube.com/watch?v=pRQRW6tRcDw
29,y8Vgcp4H4I4,성공,,초코서당(초명),경쟁자가 배우자와 재산을 다 뺏어간다고? ㅋㅋㅋ,20250829,19:37,,15,10060,https://www.youtube.com/watch?v=y8Vgcp4H4I4
30,EKzoXPyjAac,성공,,초코서당(초명),사주로 보는 불안과 우울의 원인,20250822,21:02,,17,10521,https://www.youtube.com/watch?v=EKzoXPyjAac
31,UAQGqOd6wRw,성공,,초코서당(초명),극단적인 저세상(?) 사주 모음,20250815,17:27,,13,8786,https://www.youtube.com/watch?v=UAQGqOd6wRw
32,sC3-iYHCfaU,성공,,초코서당(초명),저는 화 운을 어떻게 대비하고 있을까요?,20250725,9:05,,8,4843,https://www.youtube.com/watch?v=sC3-iYHCfaU
33,DmbuIwudvEk,성공,,초코서당(초명),사주명리책 사지 마세요,20250718,31:44,,27,17292,https://www.youtube.com/watch?v=DmbuIwudvEk
34,aQGmn9bzHss,성공,,초코서당(초명),같은 화(火)라도 일간에 따라 작용이 다릅니다.,20250716,17:45,,15,9195,https://www.youtube.com/watch?v=aQGmn9bzHss
35,mgiNlvICLJk,성공,,초코서당(초명),"나의 직업과 돈 버는 전략, 사주가 답하다",20250711,25:12,,20,13268,https://www.youtube.com/watch?v=mgiNlvICLJk
36,uAlRQiKyBKA,성공,,초코서당(초명),사주전문가가 챗GPT로 사주보고 깨달은 점,20250704,14:56,,13,7785,https://www.youtube.com/watch?v=uAlRQiKyBKA
37,-YSebkN6jsA,성공,,초코서당(초명),일지에 따라 선호하는 배우자 유형이 다릅니다,20250704,18:09,,16,9193,https://www.youtube.com/watch?v=-YSebkN6jsA
38,rF5UexsQCj8,성공,,초코서당(초명),"머리좋고 똑똑한 사주의 본질, 금백수청과 목화통명",20250509,12:14,,10,6219,https://www.youtube.com/watch?v=rF5UexsQCj8
39,yWI3zFxW6g0,성공,,초코서당(초명),사주에 화 기운이 강하다면? 이런 날 조심하세요,20250620,12:05,,11,6183,https://www.youtube.com/watch?v=yWI3zFxW6g0
40,aQR2Um81E_4,성공,,초코서당(초명),편재가 천간에 떠야 부자다,20250502,12:14,,10,6151,https://www.youtube.com/watch?v=aQR2Um81E_4
