대주제,중주제,소주제,자료건수
"S01 음양·오행","음양론","음양",452
"S01 음양·오행","음양론","체용론",65
"S01 음양·오행","음양론","양팔통·음팔통",30
"S01 음양·오행","오행 5종","목(木)",99
"S01 음양·오행","오행 5종","화(火)",182
"S01 음양·오행","오행 5종","토(土)",140
"S01 음양·오행","오행 5종","금(金)",97
"S01 음양·오행","오행 5종","수(水)",110
"S01 음양·오행","오행 관계","상생",243
"S01 음양·오행","오행 관계","상극",128
"S01 음양·오행","오행 관계","과다·태과",532
"S01 음양·오행","오행 관계","고립·불급",232
"S01 음양·오행","오행 관계","설기",40
"S02 천간","양간 5","갑목(甲)",655
"S02 천간","양간 5","병화(丙)",561
"S02 천간","양간 5","무토(戊)",541
"S02 천간","양간 5","경금(庚)",459
"S02 천간","양간 5","임수(壬)",515
"S02 천간","음간 5","을목(乙)",584
"S02 천간","음간 5","정화(丁)",448
"S02 천간","음간 5","기토(己)",474
"S02 천간","음간 5","신금(辛)",544
"S02 천간","음간 5","계수(癸)",447
"S02 천간","천간 이론","병존",236
"S02 천간","천간 이론","천간의 뜻(이상·마음)",11
"S02 천간","천간 이론","적천수 천간론",126
"S02 천간","천간 이론","하건충 십성 대응",12
"S03 지지·지장간","12지지","자수(子)",197
"S03 지지·지장간","12지지","축토(丑)",122
"S03 지지·지장간","12지지","인목(寅)",216
"S03 지지·지장간","12지지","묘목(卯)",68
"S03 지지·지장간","12지지","진토(辰)",167
"S03 지지·지장간","12지지","사화(巳)",246
"S03 지지·지장간","12지지","오화(午)",177
"S03 지지·지장간","12지지","미토(未)",69
"S03 지지·지장간","12지지","신금(申)",213
"S03 지지·지장간","12지지","유금(酉)",75
"S03 지지·지장간","12지지","술토(戌)",78
"S03 지지·지장간","12지지","해수(亥)",96
"S03 지지·지장간","지지 분류","생지(역마)",86
"S03 지지·지장간","지지 분류","왕지(도화)",103
"S03 지지·지장간","지지 분류","고지(화개)",146
"S03 지지·지장간","지장간","지장간",351
"S03 지지·지장간","지장간","여기·중기·정기",193
"S03 지지·지장간","지장간","월률분야·사령",27
"S03 지지·지장간","천간-지지 호응","통근",99
"S03 지지·지장간","천간-지지 호응","투간·투출",112
"S03 지지·지장간","천간-지지 호응","간여지동",148
"S04 합충형파해","합","천간합",113
"S04 합충형파해","합","합화",84
"S04 합충형파해","합","육합",55
"S04 합충형파해","합","삼합",151
"S04 합충형파해","합","방합",56
"S04 합충형파해","충","천간충",54
"S04 합충형파해","충","지지충",159
"S04 합충형파해","충","쟁충·쟁합",8
"S04 합충형파해","충","붕충",5
"S04 합충형파해","충","전극",2
"S04 합충형파해","형·파·해·원진","삼형",65
"S04 합충형파해","형·파·해·원진","자형",42
"S04 합충형파해","형·파·해·원진","파",8
"S04 합충형파해","형·파·해·원진","해",15
"S04 합충형파해","형·파·해·원진","원진",63
"S04 합충형파해","형·파·해·원진","귀문",49
"S05 십성·육친","비겁","비견",550
"S05 십성·육친","비겁","겁재",502
"S05 십성·육친","비겁","비겁 일반",302
"S05 십성·육친","식상","식신",586
"S05 십성·육친","식상","상관",621
"S05 십성·육친","식상","식상 일반",380
"S05 십성·육친","재성","편재",509
"S05 십성·육친","재성","정재",522
"S05 십성·육친","재성","재성 일반",482
"S05 십성·육친","관성","편관(칠살)",634
"S05 십성·육친","관성","정관",659
"S05 십성·육친","관성","관성 일반",487
"S05 십성·육친","인성","편인",540
"S05 십성·육친","인성","정인",463
"S05 십성·육친","인성","인성 일반",482
"S05 십성·육친","십성 공식","식상생재",31
"S05 십성·육친","십성 공식","관인상생",18
"S05 십성·육친","십성 공식","상관견관",24
"S05 십성·육친","십성 공식","재다신약",23
"S05 십성·육친","십성 공식","군겁쟁재",8
"S05 십성·육친","십성 공식","살인상생",3
"S05 십성·육친","십성 공식","탐재괴인",0
"S05 십성·육친","십성 공식","제살·합살",26
"S05 십성·육친","육친","배우자",845
"S05 십성·육친","육친","부모",271
"S05 십성·육친","육친","자녀",175
"S05 십성·육친","육친","형제·동료",153
"S06 신살","길신","천을귀인",137
"S06 신살","길신","천덕·월덕",143
"S06 신살","길신","문창·문곡",86
"S06 신살","길신","금여",60
"S06 신살","길신","삼기귀인",12
"S06 신살","길신","암록",43
"S06 신살","길신","학당",57
"S06 신살","흉신","백호",60
"S06 신살","흉신","양인",71
"S06 신살","흉신","괴강",45
"S06 신살","흉신","천라지망",13
"S06 신살","흉신","삼재",19
"S06 신살","흉신","공망",145
"S06 신살","흉신","탕화",0
"S06 신살","흉신","고신·과숙",2
"S06 신살","도화·역마·화개","도화",311
"S06 신살","도화·역마·화개","홍염",127
"S06 신살","도화·역마·화개","역마",206
"S06 신살","도화·역마·화개","화개",142
"S07 십이운성","12단계","장생",99
"S07 십이운성","12단계","목욕",83
"S07 십이운성","12단계","관대",74
"S07 십이운성","12단계","건록",96
"S07 십이운성","12단계","제왕",76
"S07 십이운성","12단계","쇠",23
"S07 십이운성","12단계","병·사",70
"S07 십이운성","12단계","묘(입묘)",21
"S07 십이운성","12단계","절·태·양",23
"S07 십이운성","이론·논쟁","포태법",3
"S07 십이운성","이론·논쟁","음간 십이운성",2
"S07 십이운성","이론·논쟁","십이운성 자체",585
"S07 십이운성","이론·논쟁","폐기론(현묘)",7
"S08 강약·격국·구조","강약","신강",736
"S08 강약·격국·구조","강약","신약",725
"S08 강약·격국·구조","강약","신왕",15
"S08 강약·격국·구조","강약","중화",38
"S08 강약·격국·구조","강약","득령·득지·득세",37
"S08 강약·격국·구조","격국","격국 일반",121
"S08 강약·격국·구조","격국","정격(10정격)",17
"S08 강약·격국·구조","격국","전왕격",20
"S08 강약·격국·구조","격국","종격",50
"S08 강약·격국·구조","격국","특수격",9
"S08 강약·격국·구조","구조·상태","청탁",1
"S08 강약·격국·구조","구조·상태","조후 균형",56
"S08 강약·격국·구조","구조·상태","고립·병존 구조",276
"S09 용신","용신 5법","억부용신",66
"S09 용신","용신 5법","조후용신",21
"S09 용신","용신 5법","통관용신",25
"S09 용신","용신 5법","병약용신",15
"S09 용신","용신 5법","전왕용신",1
"S09 용신","운용","희신",58
"S09 용신","운용","기신",31
"S09 용신","운용","구신·한신",14
"S09 용신","운용","용신 확정법",46
"S09 용신","운용","용신 회의론",2
"S10 대운·세운·운해석","운의 종류","대운",693
"S10 대운·세운·운해석","운의 종류","세운(연운)",423
"S10 대운·세운·운해석","운의 종류","월운",379
"S10 대운·세운·운해석","운의 종류","일진",35
"S10 대운·세운·운해석","운 계산","대운수",37
"S10 대운·세운·운해석","운 계산","순행·역행",30
"S10 대운·세운·운해석","운 계산","교운기",33
"S10 대운·세운·운해석","운 계산","소운법",65
"S10 대운·세운·운해석","운 해석법","신년운세",7753
"S10 대운·세운·운해석","운 해석법","운의 유불리",6
"S10 대운·세운·운해석","운 해석법","운 리딩 문법",134
"S10 대운·세운·운해석","운 해석법","묘운력(현묘)",11
"S11 상담론·화법·윤리","상담 방법","문진·질문지",5
"S11 상담론·화법·윤리","상담 방법","질문 재구성",32
"S11 상담론·화법·윤리","상담 방법","프로브(확인 질문)",2
"S11 상담론·화법·윤리","상담 방법","라포·공감",89
"S11 상담론·화법·윤리","윤리·금지선","단정 금지",99
"S11 상담론·화법·윤리","윤리·금지선","좋다·나쁘다 배격",384
"S11 상담론·화법·윤리","윤리·금지선","공포 마케팅 경계",8
"S11 상담론·화법·윤리","윤리·금지선","역술 사기 비판",6
"S11 상담론·화법·윤리","개운법","행동·환경 개운",340
"S11 상담론·화법·윤리","개운법","색·방위 개운",117
"S11 상담론·화법·윤리","개운법","음식·건강 개운",278
"S12 역사·이론사·인물","고전","연해자평",168
"S12 역사·이론사·인물","고전","적천수(천미)",126
"S12 역사·이론사·인물","고전","자평진전",34
"S12 역사·이론사·인물","고전","궁통보감",8
"S12 역사·이론사·인물","고전","삼명통회",35
"S12 역사·이론사·인물","고전","명리정종",6
"S12 역사·이론사·인물","고전","명리약언",33
"S12 역사·이론사·인물","고전","이허중명서·옥조정진경",4
"S12 역사·이론사·인물","고전","오행대의",10
"S12 역사·이론사·인물","고전","추명가",86
"S12 역사·이론사·인물","인물","서자평",14
"S12 역사·이론사·인물","인물","심효첨",5
"S12 역사·이론사·인물","인물","임철초",7
"S12 역사·이론사·인물","인물","진소암",3
"S12 역사·이론사·인물","인물","하건충",12
"S12 역사·이론사·인물","인물","강헌",13
"S12 역사·이론사·인물","인물","안도균",4
"S12 역사·이론사·인물","인물","박청화",14
"S12 역사·이론사·인물","인물","김동완",3
"S12 역사·이론사·인물","인물","현묘",364
"S12 역사·이론사·인물","인물","초명",61
"S12 역사·이론사·인물","관법·이론사","자평명리 성립",268
"S12 역사·이론사·인물","관법·이론사","근묘화실",127
"S12 역사·이론사·인물","관법·이론사","인시일수론",87
"S12 역사·이론사·인물","관법·이론사","야자시·조자시",51
"S12 역사·이론사·인물","관법·이론사","T존",4
"S12 역사·이론사·인물","관법·이론사","60간지론",22
"S12 역사·이론사·인물","관법·이론사","만세력·시간보정",304
