"대주제","중주제","소주제","이전","현재","증감"
"S01 음양·오행","음양론","음양",3366,3366,0
"S01 음양·오행","음양론","체용론",142,142,0
"S01 음양·오행","음양론","양팔통·음팔통",40,40,0
"S01 음양·오행","오행 5종","목(木)",1442,1442,0
"S01 음양·오행","오행 5종","화(火)",3275,3275,0
"S01 음양·오행","오행 5종","토(土)",623,623,0
"S01 음양·오행","오행 5종","금(金)",1482,1482,0
"S01 음양·오행","오행 5종","수(水)",2756,2756,0
"S01 음양·오행","오행 관계","상생",4471,4471,0
"S01 음양·오행","오행 관계","상극",1448,1448,0
"S01 음양·오행","오행 관계","과다·태과",1627,1627,0
"S01 음양·오행","오행 관계","고립·불급",2256,2256,0
"S01 음양·오행","오행 관계","설기",404,404,0
"S02 천간","양간 5","갑목(甲)",2057,2057,0
"S02 천간","양간 5","병화(丙)",5724,5724,0
"S02 천간","양간 5","무토(戊)",4458,4458,0
"S02 천간","양간 5","경금(庚)",4628,4628,0
"S02 천간","양간 5","임수(壬)",5017,5017,0
"S02 천간","음간 5","을목(乙)",4423,4423,0
"S02 천간","음간 5","정화(丁)",4994,4994,0
"S02 천간","음간 5","기토(己)",3573,3573,0
"S02 천간","음간 5","신금(辛)",5538,5538,0
"S02 천간","음간 5","계수(癸)",2270,2270,0
"S02 천간","천간 이론","병존",580,580,0
"S02 천간","천간 이론","천간의 뜻(이상·마음)",43,43,0
"S02 천간","천간 이론","적천수 천간론",279,279,0
"S02 천간","천간 이론","하건충 십성 대응",0,9,9
"S03 지지·지장간","12지지","자수(子)",3352,3352,0
"S03 지지·지장간","12지지","축토(丑)",1840,1840,0
"S03 지지·지장간","12지지","인목(寅)",1069,1069,0
"S03 지지·지장간","12지지","묘목(卯)",1948,1948,0
"S03 지지·지장간","12지지","진토(辰)",2332,2332,0
"S03 지지·지장간","12지지","사화(巳)",2132,2132,0
"S03 지지·지장간","12지지","오화(午)",1396,1396,0
"S03 지지·지장간","12지지","미토(未)",1991,1991,0
"S03 지지·지장간","12지지","신금(申)",1611,1611,0
"S03 지지·지장간","12지지","유금(酉)",1930,1930,0
"S03 지지·지장간","12지지","술토(戌)",1728,1728,0
"S03 지지·지장간","12지지","해수(亥)",3781,3781,0
"S03 지지·지장간","지지 분류","생지(역마)",775,775,0
"S03 지지·지장간","지지 분류","왕지(도화)",1034,1034,0
"S03 지지·지장간","지지 분류","고지(화개)",759,759,0
"S03 지지·지장간","지장간","지장간",3554,3554,0
"S03 지지·지장간","지장간","여기·중기·정기",2076,2076,0
"S03 지지·지장간","지장간","월률분야·사령",328,328,0
"S03 지지·지장간","천간-지지 호응","통근",972,972,0
"S03 지지·지장간","천간-지지 호응","투간·투출",692,692,0
"S03 지지·지장간","천간-지지 호응","간여지동",387,387,0
"S04 합충형파해","합","천간합",989,989,0
"S04 합충형파해","합","합화",594,594,0
"S04 합충형파해","합","육합",676,676,0
"S04 합충형파해","합","삼합",2735,2735,0
"S04 합충형파해","합","방합",1921,1921,0
"S04 합충형파해","합","반합",621,621,0
"S04 합충형파해","합","격각",562,562,0
"S04 합충형파해","충","천간충",706,706,0
"S04 합충형파해","충","지지충",2097,2097,0
"S04 합충형파해","충","쟁충·쟁합",169,169,0
"S04 합충형파해","충","붕충",79,79,0
"S04 합충형파해","충","전극",17,17,0
"S04 합충형파해","형·파·해·원진","삼형",1048,1048,0
"S04 합충형파해","형·파·해·원진","자형",196,196,0
"S04 합충형파해","형·파·해·원진","파",273,273,0
"S04 합충형파해","형·파·해·원진","해",109,109,0
"S04 합충형파해","형·파·해·원진","원진",678,678,0
"S04 합충형파해","형·파·해·원진","귀문",429,429,0
"S05 십성·육친","비겁","비견",2328,2328,0
"S05 십성·육친","비겁","겁재",2141,2141,0
"S05 십성·육친","비겁","비겁 일반",2452,2452,0
"S05 십성·육친","식상","식신",4635,4635,0
"S05 십성·육친","식상","상관",6333,6333,0
"S05 십성·육친","식상","식상 일반",5071,5071,0
"S05 십성·육친","재성","편재",1682,1682,0
"S05 십성·육친","재성","정재",1199,1199,0
"S05 십성·육친","재성","재성 일반",5354,5354,0
"S05 십성·육친","관성","편관(칠살)",2536,2536,0
"S05 십성·육친","관성","정관",3671,3671,0
"S05 십성·육친","관성","관성 일반",5520,5520,0
"S05 십성·육친","인성","편인",3768,3768,0
"S05 십성·육친","인성","정인",3307,3307,0
"S05 십성·육친","인성","인성 일반",5906,5906,0
"S05 십성·육친","십성 공식","식상생재",179,179,0
"S05 십성·육친","십성 공식","관인상생",218,218,0
"S05 십성·육친","십성 공식","상관견관",88,88,0
"S05 십성·육친","십성 공식","재다신약",79,79,0
"S05 십성·육친","십성 공식","군겁쟁재",75,75,0
"S05 십성·육친","십성 공식","살인상생",131,131,0
"S05 십성·육친","십성 공식","탐재괴인",19,19,0
"S05 십성·육친","십성 공식","제살·합살",405,405,0
"S05 십성·육친","육친","배우자",5206,5206,0
"S05 십성·육친","육친","부모",4439,4439,0
"S05 십성·육친","육친","자녀",3792,3792,0
"S05 십성·육친","육친","형제·동료",1667,1667,0
"S06 신살","길신","천을귀인",330,330,0
"S06 신살","길신","천덕·월덕",100,100,0
"S06 신살","길신","문창·문곡",192,192,0
"S06 신살","길신","금여",108,108,0
"S06 신살","길신","삼기귀인",30,30,0
"S06 신살","길신","암록",28,28,0
"S06 신살","길신","학당",148,148,0
"S06 신살","길신","협록",13,13,0
"S06 신살","길신","월공",38,38,0
"S06 신살","흉신","백호",342,342,0
"S06 신살","흉신","양인",1484,1484,0
"S06 신살","흉신","괴강",228,228,0
"S06 신살","흉신","천라지망",158,158,0
"S06 신살","흉신","천문성",44,44,0
"S06 신살","흉신","현침살",61,61,0
"S06 신살","흉신","함지살",21,21,0
"S06 신살","흉신","급각살",11,11,0
"S06 신살","흉신","부성입묘",0,0,0
"S06 신살","흉신","삼재",193,193,0
"S06 신살","흉신","공망",505,505,0
"S06 신살","흉신","탕화",46,46,0
"S06 신살","흉신","고신·과숙",49,49,0
"S06 신살","도화·역마·화개","도화",1244,1244,0
"S06 신살","도화·역마·화개","홍염",1747,1747,0
"S06 신살","도화·역마·화개","역마",751,751,0
"S06 신살","도화·역마·화개","화개",409,409,0
"S06 신살","미등재 발굴 신살","수옥살",36,36,0
"S06 신살","미등재 발굴 신살","착차살",6,6,0
"S06 신살","미등재 발굴 신살","고란살",20,20,0
"S06 신살","미등재 발굴 신살","태백살",4,4,0
"S06 신살","십이신살","장성살",87,87,0
"S06 신살","십이신살","망신살",120,120,0
"S06 신살","십이신살","반안살",52,52,0
"S06 신살","십이신살","겁살·재살",257,257,0
"S06 신살","십이신살","천살·지살",237,237,0
"S06 신살","십이신살","년살·월살",63,63,0
"S06 신살","십이신살","육해살",61,61,0
"S07 십이운성","12단계","장생",432,432,0
"S07 십이운성","12단계","목욕",473,473,0
"S07 십이운성","12단계","관대",488,488,0
"S07 십이운성","12단계","건록",194,194,0
"S07 십이운성","12단계","제왕",381,381,0
"S07 십이운성","12단계","쇠",145,145,0
"S07 십이운성","12단계","병·사",88,88,0
"S07 십이운성","12단계","묘(입묘)",152,152,0
"S07 십이운성","12단계","절·태·양",340,340,0
"S07 십이운성","이론·논쟁","포태법",58,58,0
"S07 십이운성","이론·논쟁","음간 십이운성",5,5,0
"S07 십이운성","이론·논쟁","십이운성 자체",1637,1637,0
"S07 십이운성","이론·논쟁","폐기론(현묘)",6,6,0
"S08 강약·격국·구조","강약","신강",1351,1351,0
"S08 강약·격국·구조","강약","신약",1905,1905,0
"S08 강약·격국·구조","강약","신왕",273,273,0
"S08 강약·격국·구조","강약","중화",369,369,0
"S08 강약·격국·구조","강약","극신강",105,105,0
"S08 강약·격국·구조","강약","극신약",121,121,0
"S08 강약·격국·구조","강약","득령·득지·득세",259,259,0
"S08 강약·격국·구조","강약","점수론(110점)",32,32,0
"S08 강약·격국·구조","격국","격국 일반",731,731,0
"S08 강약·격국·구조","격국","정격(10정격)",82,82,0
"S08 강약·격국·구조","격국","전왕격",239,239,0
"S08 강약·격국·구조","격국","종격",293,293,0
"S08 강약·격국·구조","격국","특수격",74,74,0
"S08 강약·격국·구조","구조·상태","청탁",112,112,0
"S08 강약·격국·구조","구조·상태","조후 균형",309,309,0
"S08 강약·격국·구조","구조·상태","고립·병존 구조",516,516,0
"S09 용신","용신 5법","억부용신",454,454,0
"S09 용신","용신 5법","조후용신",45,45,0
"S09 용신","용신 5법","한난조습",212,212,0
"S09 용신","용신 5법","통관용신",153,153,0
"S09 용신","용신 5법","병약용신",101,101,0
"S09 용신","용신 5법","전왕용신",13,13,0
"S09 용신","운용","희신",359,359,0
"S09 용신","운용","기신",464,464,0
"S09 용신","운용","구신·한신",751,751,0
"S09 용신","운용","용신 확정법",85,85,0
"S09 용신","운용","용신 회의론",3,3,0
"S10 대운·세운·운해석","운의 종류","대운",4425,4425,0
"S10 대운·세운·운해석","운의 종류","세운(연운)",2195,2195,0
"S10 대운·세운·운해석","운의 종류","월운",1077,1077,0
"S10 대운·세운·운해석","운의 종류","일진",229,229,0
"S10 대운·세운·운해석","운 계산","대운수",76,76,0
"S10 대운·세운·운해석","운 계산","순행·역행",204,204,0
