층,A,관계,B,방향,조건,조건극성,부호,무게,등급,표본,출처수,교차확인,왜,사슬,근거,대주제A,대주제B,간선id
"L1결정론","60간지론","구성","천간(총칭)","a→b","","","중립","1.0","","","","","공리","","60갑자 = 천간10 × 지지12","S12 역사·이론사·인물","S14 기본 골격어","E-0e38e66e"
"L1결정론","60간지론","구성","지지(총칭)","a→b","","","중립","1.0","","","","","공리","","60갑자 = 천간10 × 지지12","S12 역사·이론사·인물","S14 기본 골격어","E-410dc5ec"
"L1결정론","60간지론","전제","음양","a→b","","","중립","1.0","","","","","목차","","★양간은 양지와만, 음간은 음지와만 짝한다 — 그래서 120이 아니라 60이다","S12 역사·이론사·인물","S01 음양·오행","E-37a7aace"
"L1결정론","간여지동","산출","진토(辰)","a→b","일간이 무(戊)토(+) · 자리는 관대(冠帶)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 간여지동 → 진(辰)","S03 지지·지장간","S03 지지·지장간","E-c8275e6c"
"L1결정론","간여지동","산출","미토(未)","a→b","일간이 기(己)토(-) · 자리는 관대(冠帶)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 간여지동 → 미(未)","S03 지지·지장간","S03 지지·지장간","E-295f8b0a"
"L1결정론","간여지동","산출","인목(寅)","a→b","일간이 갑(甲)목(+) · 자리는 건록(乾祿)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 간여지동 → 인(寅)","S03 지지·지장간","S03 지지·지장간","E-63003760"
"L1결정론","간여지동","산출","묘목(卯)","a→b","일간이 을(乙)목(-) · 자리는 건록(乾祿)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 간여지동 → 묘(卯)","S03 지지·지장간","S03 지지·지장간","E-096e053a"
"L1결정론","간여지동","산출","신금(申)","a→b","일간이 경(庚)금(+) · 자리는 건록(乾祿)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 간여지동 → 신(申)","S03 지지·지장간","S03 지지·지장간","E-f51a69df"
"L1결정론","간여지동","산출","유금(酉)","a→b","일간이 신(辛)금(-) · 자리는 건록(乾祿)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 간여지동 → 유(酉)","S03 지지·지장간","S03 지지·지장간","E-daebd930"
"L1결정론","간여지동","산출","오화(午)","a→b","일간이 병(丙)화(+) · 자리는 제왕(帝旺)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 간여지동 → 오(午)","S03 지지·지장간","S03 지지·지장간","E-44f3d1fc"
