한자,음,훈음(인명),이독음/기타,총획,유니코드
伽,가,가 : 절(가),,7,U+4F3D
佳,가,가 : 아름다울(가),"개,계,규,주",8,U+4F73
假,가,가 : 빌(가),,11,U+5047
價,가,가 : 값(가),,15,U+50F9
加,가,가 : 더할(가),,5,U+52A0
可,가,가 : 옳을(가) 들을(가),"아,하",5,U+53EF
呵,가,가 : 꾸짖을(가) 불(가) 웃을(가),아,8,U+5475
哥,가,가 : 형(가),,10,U+54E5
哿,가,가 : 옳을(가),,10,U+54FF
嘉,가,가 : 아름다울(가),,14,U+5609
坷,가,가 : 험할(가),,8,U+5777
婽,가,가 : 고울(가),단,12,U+5A7D
嫁,가,가 : 시집갈(가),완,13,U+5AC1
家,가,가 : 집(가),,10,U+5BB6
岢,가,가 : 땅이름(가),,8,U+5CA2
徦,가,가 : 이를(가),,12,U+5FA6
斝,가,가 : 옥잔(가),,12,U+659D
暇,가,가 : 겨를(가) 한가할(가),하,13,U+6687
架,가,가 : 시렁(가),,9,U+67B6
枷,가,가 : 항쇄(가) 도리깨(가),가 : 항쇄(가) 도리 깨(가),9,U+67B7
柯,가,가 : 가지(가),"아,하",9,U+67EF
椵,가,가 : 유자(가),,13,U+6935
榎,가,가 : 개오동나무(가),하,14,U+698E
檟,가,가 : 개오동나무(가),,17,U+6A9F
歌,가,가 : 노래(가),,14,U+6B4C
泇,가,가 : 땅이름(가),하,8,U+6CC7
渮,가,가 : 늪이름(가),,12,U+6E2E
牁,가,가 : 배말뚝(가),,9,U+7241
珂,가,가 : 백마노(가),"노,아,이,하",9,U+73C2
珈,가,가: 머리꾸미개(가),,9,U+73C8
痂,가,가 : 딱지(가),,10,U+75C2
稼,가,가 : 심을(가),,15,U+7A3C
笳,가,가 : 호드기(가),,11,U+7B33
耞,가,가 : 도리깨(가),,11,U+801E
舸,가,가:큰배(가) 거룻배(가),가: 큰배(가),11,U+8238
苛,가,가 : 독할(가),하,11,U+82DB
茄,가,가 : 가지(가) 연줄기(가),가 : 가지(가) 연줄 기(가),11,U+8304
葭,가,가 : 갈대(가),,15,U+846D
街,가,가 : 거리(가),,12,U+8857
袈,가,가 : 가사(가),,11,U+8888
訶,가,가 : 꾸짖을(가),하,12,U+8A36
謌,가,가 : 노래(가),,17,U+8B0C
跏,가,가 : 책상다리할(가),,12,U+8DCF
軻,가,가 : 가기힘들(가),,12,U+8EFB
迦,가,가 : 부처이름(가),,9,U+8FE6
駕,가,가 : 수레(가) 멍에(가) 능가할(가),하,15,U+99D5
